split,image_id,low,high
train,2,our485/low/2.png,our485/high/2.png
train,5,our485/low/5.png,our485/high/5.png
train,6,our485/low/6.png,our485/high/6.png
train,9,our485/low/9.png,our485/high/9.png
train,12,our485/low/12.png,our485/high/12.png
train,13,our485/low/13.png,our485/high/13.png
train,15,our485/low/15.png,our485/high/15.png
train,16,our485/low/16.png,our485/high/16.png
train,17,our485/low/17.png,our485/high/17.png
train,18,our485/low/18.png,our485/high/18.png
train,21,our485/low/21.png,our485/high/21.png
train,24,our485/low/24.png,our485/high/24.png
train,25,our485/low/25.png,our485/high/25.png
train,26,our485/low/26.png,our485/high/26.png
train,27,our485/low/27.png,our485/high/27.png
train,28,our485/low/28.png,our485/high/28.png
train,33,our485/low/33.png,our485/high/33.png
train,35,our485/low/35.png,our485/high/35.png
train,36,our485/low/36.png,our485/high/36.png
train,39,our485/low/39.png,our485/high/39.png
train,40,our485/low/40.png,our485/high/40.png
train,42,our485/low/42.png,our485/high/42.png
train,43,our485/low/43.png,our485/high/43.png
train,44,our485/low/44.png,our485/high/44.png
train,45,our485/low/45.png,our485/high/45.png
train,46,our485/low/46.png,our485/high/46.png
train,47,our485/low/47.png,our485/high/47.png
train,48,our485/low/48.png,our485/high/48.png
train,50,our485/low/50.png,our485/high/50.png
train,51,our485/low/51.png,our485/high/51.png
train,52,our485/low/52.png,our485/high/52.png
train,53,our485/low/53.png,our485/high/53.png
train,54,our485/low/54.png,our485/high/54.png
train,56,our485/low/56.png,our485/high/56.png
train,57,our485/low/57.png,our485/high/57.png
train,58,our485/low/58.png,our485/high/58.png
train,59,our485/low/59.png,our485/high/59.png
train,60,our485/low/60.png,our485/high/60.png
train,62,our485/low/62.png,our485/high/62.png
train,63,our485/low/63.png,our485/high/63.png
train,64,our485/low/64.png,our485/high/64.png
train,68,our485/low/68.png,our485/high/68.png
train,69,our485/low/69.png,our485/high/69.png
train,70,our485/low/70.png,our485/high/70.png
train,73,our485/low/73.png,our485/high/73.png
train,75,our485/low/75.png,our485/high/75.png
train,76,our485/low/76.png,our485/high/76.png
train,77,our485/low/77.png,our485/high/77.png
train,78,our485/low/78.png,our485/high/78.png
train,80,our485/low/80.png,our485/high/80.png
train,81,our485/low/81.png,our485/high/81.png
train,82,our485/low/82.png,our485/high/82.png
train,83,our485/low/83.png,our485/high/83.png
train,86,our485/low/86.png,our485/high/86.png
train,87,our485/low/87.png,our485/high/87.png
train,88,our485/low/88.png,our485/high/88.png
train,89,our485/low/89.png,our485/high/89.png
train,91,our485/low/91.png,our485/high/91.png
train,92,our485/low/92.png,our485/high/92.png
train,93,our485/low/93.png,our485/high/93.png
train,94,our485/low/94.png,our485/high/94.png
train,95,our485/low/95.png,our485/high/95.png
train,96,our485/low/96.png,our485/high/96.png
train,97,our485/low/97.png,our485/high/97.png
train,98,our485/low/98.png,our485/high/98.png
train,99,our485/low/99.png,our485/high/99.png
train,100,our485/low/100.png,our485/high/100.png
train,101,our485/low/101.png,our485/high/101.png
train,102,our485/low/102.png,our485/high/102.png
train,103,our485/low/103.png,our485/high/103.png
train,104,our485/low/104.png,our485/high/104.png
train,105,our485/low/105.png,our485/high/105.png
train,106,our485/low/106.png,our485/high/106.png
train,107,our485/low/107.png,our485/high/107.png
train,109,our485/low/109.png,our485/high/109.png
train,110,our485/low/110.png,our485/high/110.png
train,112,our485/low/112.png,our485/high/112.png
train,113,our485/low/113.png,our485/high/113.png
train,114,our485/low/114.png,our485/high/114.png
train,115,our485/low/115.png,our485/high/115.png
train,116,our485/low/116.png,our485/high/116.png
train,117,our485/low/117.png,our485/high/117.png
train,119,our485/low/119.png,our485/high/119.png
train,120,our485/low/120.png,our485/high/120.png
train,121,our485/low/121.png,our485/high/121.png
train,122,our485/low/122.png,our485/high/122.png
train,124,our485/low/124.png,our485/high/124.png
train,126,our485/low/126.png,our485/high/126.png
train,127,our485/low/127.png,our485/high/127.png
train,128,our485/low/128.png,our485/high/128.png
train,129,our485/low/129.png,our485/high/129.png
train,130,our485/low/130.png,our485/high/130.png
train,131,our485/low/131.png,our485/high/131.png
train,132,our485/low/132.png,our485/high/132.png
train,135,our485/low/135.png,our485/high/135.png
train,136,our485/low/136.png,our485/high/136.png
train,137,our485/low/137.png,our485/high/137.png
train,138,our485/low/138.png,our485/high/138.png
train,139,our485/low/139.png,our485/high/139.png
train,140,our485/low/140.png,our485/high/140.png
train,141,our485/low/141.png,our485/high/141.png
train,142,our485/low/142.png,our485/high/142.png
train,143,our485/low/143.png,our485/high/143.png
train,144,our485/low/144.png,our485/high/144.png
train,145,our485/low/145.png,our485/high/145.png
train,147,our485/low/147.png,our485/high/147.png
train,149,our485/low/149.png,our485/high/149.png
train,150,our485/low/150.png,our485/high/150.png
train,151,our485/low/151.png,our485/high/151.png
train,152,our485/low/152.png,our485/high/152.png
train,154,our485/low/154.png,our485/high/154.png
train,157,our485/low/157.png,our485/high/157.png
train,159,our485/low/159.png,our485/high/159.png
train,160,our485/low/160.png,our485/high/160.png
train,162,our485/low/162.png,our485/high/162.png
train,167,our485/low/167.png,our485/high/167.png
train,169,our485/low/169.png,our485/high/169.png
train,171,our485/low/171.png,our485/high/171.png
train,172,our485/low/172.png,our485/high/172.png
train,174,our485/low/174.png,our485/high/174.png
train,175,our485/low/175.png,our485/high/175.png
train,180,our485/low/180.png,our485/high/180.png
train,183,our485/low/183.png,our485/high/183.png
train,184,our485/low/184.png,our485/high/184.png
train,185,our485/low/185.png,our485/high/185.png
train,186,our485/low/186.png,our485/high/186.png
train,187,our485/low/187.png,our485/high/187.png
train,189,our485/low/189.png,our485/high/189.png
train,191,our485/low/191.png,our485/high/191.png
train,193,our485/low/193.png,our485/high/193.png
train,194,our485/low/194.png,our485/high/194.png
train,196,our485/low/196.png,our485/high/196.png
train,198,our485/low/198.png,our485/high/198.png
train,199,our485/low/199.png,our485/high/199.png
train,200,our485/low/200.png,our485/high/200.png
train,201,our485/low/201.png,our485/high/201.png
train,202,our485/low/202.png,our485/high/202.png
train,203,our485/low/203.png,our485/high/203.png
train,204,our485/low/204.png,our485/high/204.png
train,206,our485/low/206.png,our485/high/206.png
train,209,our485/low/209.png,our485/high/209.png
train,211,our485/low/211.png,our485/high/211.png
train,212,our485/low/212.png,our485/high/212.png
train,213,our485/low/213.png,our485/high/213.png
train,215,our485/low/215.png,our485/high/215.png
train,216,our485/low/216.png,our485/high/216.png
train,219,our485/low/219.png,our485/high/219.png
train,220,our485/low/220.png,our485/high/220.png
train,222,our485/low/222.png,our485/high/222.png
train,225,our485/low/225.png,our485/high/225.png
train,227,our485/low/227.png,our485/high/227.png
train,228,our485/low/228.png,our485/high/228.png
train,229,our485/low/229.png,our485/high/229.png
train,231,our485/low/231.png,our485/high/231.png
train,232,our485/low/232.png,our485/high/232.png
train,233,our485/low/233.png,our485/high/233.png
train,235,our485/low/235.png,our485/high/235.png
train,237,our485/low/237.png,our485/high/237.png
train,238,our485/low/238.png,our485/high/238.png
train,239,our485/low/239.png,our485/high/239.png
train,240,our485/low/240.png,our485/high/240.png
train,241,our485/low/241.png,our485/high/241.png
train,242,our485/low/242.png,our485/high/242.png
train,243,our485/low/243.png,our485/high/243.png
train,244,our485/low/244.png,our485/high/244.png
train,247,our485/low/247.png,our485/high/247.png
train,248,our485/low/248.png,our485/high/248.png
train,249,our485/low/249.png,our485/high/249.png
train,251,our485/low/251.png,our485/high/251.png
train,252,our485/low/252.png,our485/high/252.png
train,253,our485/low/253.png,our485/high/253.png
train,257,our485/low/257.png,our485/high/257.png
train,258,our485/low/258.png,our485/high/258.png
train,259,our485/low/259.png,our485/high/259.png
train,261,our485/low/261.png,our485/high/261.png
train,263,our485/low/263.png,our485/high/263.png
train,264,our485/low/264.png,our485/high/264.png
train,265,our485/low/265.png,our485/high/265.png
train,267,our485/low/267.png,our485/high/267.png
train,330,our485/low/330.png,our485/high/330.png
train,342,our485/low/342.png,our485/high/342.png
train,344,our485/low/344.png,our485/high/344.png
train,450,our485/low/450.png,our485/high/450.png
train,460,our485/low/460.png,our485/high/460.png
train,468,our485/low/468.png,our485/high/468.png
train,469,our485/low/469.png,our485/high/469.png
train,470,our485/low/470.png,our485/high/470.png
train,472,our485/low/472.png,our485/high/472.png
train,473,our485/low/473.png,our485/high/473.png
train,474,our485/low/474.png,our485/high/474.png
train,475,our485/low/475.png,our485/high/475.png
train,477,our485/low/477.png,our485/high/477.png
train,478,our485/low/478.png,our485/high/478.png
train,479,our485/low/479.png,our485/high/479.png
train,480,our485/low/480.png,our485/high/480.png
train,481,our485/low/481.png,our485/high/481.png
train,482,our485/low/482.png,our485/high/482.png
train,483,our485/low/483.png,our485/high/483.png
train,484,our485/low/484.png,our485/high/484.png
train,485,our485/low/485.png,our485/high/485.png
train,486,our485/low/486.png,our485/high/486.png
train,487,our485/low/487.png,our485/high/487.png
train,489,our485/low/489.png,our485/high/489.png
train,490,our485/low/490.png,our485/high/490.png
train,491,our485/low/491.png,our485/high/491.png
train,492,our485/low/492.png,our485/high/492.png
train,494,our485/low/494.png,our485/high/494.png
train,495,our485/low/495.png,our485/high/495.png
train,496,our485/low/496.png,our485/high/496.png
train,497,our485/low/497.png,our485/high/497.png
train,498,our485/low/498.png,our485/high/498.png
train,499,our485/low/499.png,our485/high/499.png
train,500,our485/low/500.png,our485/high/500.png
train,502,our485/low/502.png,our485/high/502.png
train,504,our485/low/504.png,our485/high/504.png
train,505,our485/low/505.png,our485/high/505.png
train,506,our485/low/506.png,our485/high/506.png
train,507,our485/low/507.png,our485/high/507.png
train,508,our485/low/508.png,our485/high/508.png
train,511,our485/low/511.png,our485/high/511.png
train,512,our485/low/512.png,our485/high/512.png
train,514,our485/low/514.png,our485/high/514.png
train,515,our485/low/515.png,our485/high/515.png
train,517,our485/low/517.png,our485/high/517.png
train,523,our485/low/523.png,our485/high/523.png
train,524,our485/low/524.png,our485/high/524.png
train,525,our485/low/525.png,our485/high/525.png
train,526,our485/low/526.png,our485/high/526.png
train,527,our485/low/527.png,our485/high/527.png
